query_id,variant_id,rank,doc_id
1,0,1,2208.09694
1,0,2,1908.00178
1,0,3,2204.12717
1,0,4,2001.01816
1,0,5,2204.01184
1,0,6,2105.07635
1,0,7,2311.09093
1,0,8,2212.09438
1,0,9,1708.08986
1,0,10,2106.15274
1,1,1,2208.09694
1,1,2,2204.12717
1,1,3,2001.01816
1,1,4,2212.09438
1,1,5,1708.08986
1,1,6,2103.00801
1,1,7,2311.09093
1,1,8,1908.00178
1,1,9,2105.07635
1,1,10,2106.15274
1,2,1,1503.03771
1,2,2,1707.01698
1,2,3,1807.03594
1,2,4,2404.07685
1,2,5,2403.01172
1,2,6,1603.01842
1,2,7,2409.05389
1,2,8,1312.6834
1,2,9,2405.076
1,2,10,1407.7556
1,3,1,2105.07635
1,3,2,2204.12717
1,3,3,1605.0315
1,3,4,cs/0509022
1,3,5,2403.06797
1,3,6,2402.16036
1,3,7,2308.06054
1,3,8,1810.09805
1,3,9,2006.06976
1,3,10,2411.15602
1,4,1,2204.12717
1,4,2,2208.09694
1,4,3,2103.00801
1,4,4,1908.00178
1,4,5,2204.01184
1,4,6,1910.11968
1,4,7,2311.09093
1,4,8,1905.01635
1,4,9,2208.1165
1,4,10,2106.15274
1,5,1,1709.00846
1,5,2,2006.14011
1,5,3,1812.0776
1,5,4,2203.15983
1,5,5,2306.14601
1,5,6,2304.13242
1,5,7,2402.0475
1,5,8,1910.02818
1,5,9,2209.06522
1,5,10,1202.4495
2,0,1,1809.00084
2,0,2,1711.08506
2,0,3,1907.03576
2,0,4,2408.01607
2,0,5,2404.18891
2,0,6,2102.08497
2,0,7,2004.13903
2,0,8,2501.07163
2,0,9,2103.06031
2,0,10,2305.14841
2,1,1,1809.00084
2,1,2,2004.13903
2,1,3,1711.08506
2,1,4,2408.01607
2,1,5,2404.18891
2,1,6,1907.03576
2,1,7,2305.14841
2,1,8,2501.07163
2,1,9,1809.00076
2,1,10,1904.08483
2,2,1,2111.01093
2,2,2,1811.02654
2,2,3,2406.194
2,2,4,1807.09169
2,2,5,2408.00783
2,2,6,2211.1104
2,2,7,1901.03915
2,2,8,1905.08409
2,2,9,2011.15093
2,2,10,1903.02871
2,3,1,2501.07163
2,3,2,1809.00084
2,3,3,1904.02872
2,3,4,2207.09162
2,3,5,1907.0887
2,3,6,2008.06457
2,3,7,2211.01125
2,3,8,2102.01389
2,3,9,2102.12095
2,3,10,2501.0644
2,4,1,2303.09679
2,4,2,2305.04665
2,4,3,1911.02761
2,4,4,1812.00328
2,4,5,1202.1943
2,4,6,2206.10294
2,4,7,2409.00647
2,4,8,1711.06636
2,4,9,1805.08693
2,4,10,2008.12371
2,5,1,2410.17816
2,5,2,2011.1279
2,5,3,2308.12727
2,5,4,1604.04333
2,5,5,2205.05841
2,5,6,1603.00502
2,5,7,1701.0262
2,5,8,1801.09321
2,5,9,2210.08472
2,5,10,2406.04933
3,0,1,2410.22626
3,0,2,1509.0647
3,0,3,2210.03043
3,0,4,2209.05629
3,0,5,2407.00609
3,0,6,2411.16537
3,0,7,2410.04529
3,0,8,2111.02444
3,0,9,1910.13676
3,0,10,1903.09761
3,1,1,1901.10968
3,1,2,1912.12555
3,1,3,2503.16535
3,1,4,2107.00229
3,1,5,2011.03216
3,1,6,2309.15329
3,1,7,2403.10104
3,1,8,1810.00818
3,1,9,2003.09487
3,1,10,2411.01639
3,2,1,1905.04084
3,2,2,2108.07616
3,2,3,2305.04718
3,2,4,2312.02396
3,2,5,2504.02161
3,2,6,2202.00732
3,2,7,2205.11666
3,2,8,1901.06514
3,2,9,2306.05242
3,2,10,2107.00229
3,3,1,1911.06487
3,3,2,2004.14774
3,3,3,1903.0784
3,3,4,2409.17519
3,3,5,1902.10363
3,3,6,1501.04158
3,3,7,1504.03154
3,3,8,1811.10847
3,3,9,1812.00725
3,3,10,2404.11683
3,4,1,1111.5358
3,4,2,1908.06422
3,4,3,1901.06514
3,4,4,1704.0661
3,4,5,2209.05629
3,4,6,1909.07459
3,4,7,2003.01163
3,4,8,2209.09874
3,4,9,2011.06961
3,4,10,1412.7007
3,5,1,2410.03303
3,5,2,2411.05821
3,5,3,2311.17842
3,5,4,2409.17519
3,5,5,2005.08829
3,5,6,2111.09793
3,5,7,2411.17458
3,5,8,2409.14216
3,5,9,2412.06465
3,5,10,1807.07049
4,0,1,1505.0289
4,0,2,1712.05245
4,0,3,1906.06538
4,0,4,1604.03351
4,0,5,1607.05695
4,0,6,2412.02855
4,0,7,1909.03309
4,0,8,1805.0286
4,0,9,2010.03318
4,0,10,1505.0088
4,1,1,1904.07647
4,1,2,1505.0289
4,1,3,1909.06175
4,1,4,2103.16516
4,1,5,1906.06538
4,1,6,1712.05245
4,1,7,1805.07872
4,1,8,1609.06666
4,1,9,1909.03309
4,1,10,1812.1055
4,2,1,1901.08373
4,2,2,2207.09869
4,2,3,1609.06666
4,2,4,2003.11303
4,2,5,2308.12938
4,2,6,1412.719
4,2,7,1902.05394
4,2,8,2301.04613
4,2,9,2412.02855
4,2,10,2106.01178
4,3,1,1505.0289
4,3,2,1712.05245
4,3,3,1906.06538
4,3,4,1604.03351
4,3,5,2412.02855
4,3,6,1607.05695
4,3,7,1909.03309
4,3,8,1805.0286
4,3,9,1505.0088
4,3,10,1908.04512
4,4,1,1505.0289
4,4,2,1712.05245
4,4,3,1609.06666
4,4,4,1703.10714
4,4,5,1805.07872
4,4,6,2412.02855
4,4,7,1412.719
4,4,8,1901.08373
4,4,9,1701.07046
4,4,10,1502.04652
4,5,1,1703.06857
4,5,2,1907.05287
4,5,3,1604.03265
4,5,4,2208.0699
4,5,5,1604.05605
4,5,6,2103.16516
4,5,7,1905.0254
4,5,8,1706.07901
4,5,9,2206.05853
4,5,10,1711.08006
5,0,1,1703.07479
5,0,2,1704.0604
5,0,3,2007.07925
5,0,4,2203.06328
5,0,5,2412.02214
5,0,6,1803.0866
5,0,7,2409.00606
5,0,8,1807.00273
5,0,9,1811.07459
5,0,10,2002.03321
5,1,1,1703.07479
5,1,2,2210.03163
5,1,3,2203.06328
5,1,4,2501.00057
5,1,5,1811.07459
5,1,6,1704.0604
5,1,7,2007.07925
5,1,8,1810.12521
5,1,9,2412.02214
5,1,10,1811.07056
5,2,1,1703.07479
5,2,2,2203.06328
5,2,3,2007.07925
5,2,4,1704.0604
5,2,5,2010.07222
5,2,6,1901.00224
5,2,7,1803.0866
5,2,8,2409.00606
5,2,9,2002.03321
5,2,10,1811.04863
5,3,1,1703.07479
5,3,2,2201.0125
5,3,3,2011.02727
5,3,4,1803.0866
5,3,5,2111.13445
5,3,6,2109.15242
5,3,7,2404.09461
5,3,8,2109.00788
5,3,9,2405.07489
5,3,10,2307.04157
5,4,1,1703.07479
5,4,2,1704.0604
5,4,3,2412.02214
5,4,4,2203.06328
5,4,5,2001.03182
5,4,6,1811.07459
5,4,7,2007.07925
5,4,8,2409.00606
5,4,9,2501.00057
5,4,10,2309.01408
5,5,1,1703.07479
5,5,2,2203.06328
5,5,3,2007.07925
5,5,4,1704.0604
5,5,5,1811.07056
5,5,6,2501.00057
5,5,7,2002.03321
5,5,8,2409.00606
5,5,9,1803.0866
5,5,10,2101.05913
