query_id,doc_id,is_relevant
1,2001.01816,1
1,2412.14446,1
1,2409.17403,0
1,2502.15119,0
1,1909.05003,0
1,2212.09438,1
1,1908.00178,1
1,2204.12717,1
1,2105.07635,1
1,2311.05332,0
1,2110.12255,0
1,2302.09227,0
1,2405.03218,0
1,2111.00228,0
1,2204.01943,0
1,2202.13501,1
1,1701.07901,0
1,1604.04653,0
1,2009.09984,0
1,2102.01882,0
1,2403.06797,0
1,2005.00127,1
1,1706.10082,0
1,2411.12667,0
1,2101.07571,0
1,1406.5565,0
1,2012.02502,0
1,2312.06352,1
1,1908.05674,1
1,2208.09694,1
1,2403.07542,1
1,2311.09093,1
1,1709.00846,0
1,2006.14011,1
1,2402.0475,1
1,2107.00689,0
1,2306.14601,1
1,2106.11379,1
1,2203.15983,0
1,1202.4495,0
1,1812.0776,1
1,2002.04791,0
2,1809.00084,1
2,2210.03163,0
2,1906.05251,0
2,2404.18891,1
2,2008.06457,0
2,1904.00724,0
2,2406.17804,0
2,2408.01607,0
2,1804.01653,0
2,1811.03151,0
2,1811.02654,1
2,2211.1104,1
2,2111.01093,1
2,1709.02967,1
2,2203.09674,1
2,1706.04397,1
2,1903.02871,1
2,1807.09169,1
2,1901.03915,0
2,2404.09461,0
2,2004.15004,0
2,1708.02711,0
2,1604.01497,0
2,1907.12056,1
2,2206.10294,0
2,2407.0772,1
2,2112.08968,1
2,2305.04665,0
2,1910.03274,1
2,1705.02727,1
2,1701.05384,0
2,2208.02895,0
2,1805.08693,1
2,2205.05841,1
2,2410.17816,0
2,1703.08497,0
2,2404.10433,0
2,1601.07014,1
2,2210.08472,0
2,2011.1279,0
2,2411.09283,1
2,1705.09552,0
2,2208.06933,0
3,1509.0647,0
3,2410.22626,1
3,2411.16537,1
3,2209.05629,1
3,2212.0192,0
3,2407.00609,1
3,2501.13104,1
3,2410.17988,1
3,2109.1341,0
3,2410.04529,1
3,1901.10968,1
3,2403.10104,1
3,2411.01639,1
3,2107.00229,1
3,2011.03216,1
3,2404.04608,1
3,2410.13384,1
3,2409.20289,1
3,2309.15329,1
3,2207.13315,0
3,2412.0214,0
3,2108.07616,0
3,2302.10717,1
3,2404.18112,1
3,2504.02477,1
3,1611.08036,0
3,2007.03357,1
3,2410.08365,1
3,2305.0191,0
3,2004.14774,0
3,2304.11196,0
3,1911.06487,0
3,2003.08515,1
3,2409.18372,0
3,1902.10363,0
3,2308.1628,0
3,2306.09331,0
3,1504.03154,0
3,1111.5358,1
3,1909.07459,1
3,2307.13721,0
3,2405.08992,0
3,2209.09874,1
3,2104.02215,1
3,1908.06422,1
3,2103.16095,1
3,2204.09221,0
3,2110.12255,0
3,2411.05821,1
3,2302.09227,0
3,2410.03303,0
3,2409.12514,0
3,2309.08179,1
3,2412.06465,1
3,2503.04096,1
3,2005.08829,0
4,1712.05245,1
4,1505.0289,1
4,1805.0286,1
4,1906.06538,1
4,1902.03057,1
4,1604.03351,1
4,1909.06175,1
4,1607.05695,1
4,1704.04516,1
4,1803.02129,1
4,1904.07647,1
4,1706.08924,0
4,2306.03954,0
4,1709.06531,0
4,2211.11557,0
4,1812.1055,1
4,1612.06703,1
4,2103.16516,1
4,1901.08373,1
4,1807.04514,0
4,2207.09869,1
4,2003.11303,1
4,1609.06666,1
4,1902.05394,1
4,1412.719,1
4,2112.00322,1
4,2007.13284,0
4,2212.0756,1
4,1912.07249,0
4,1702.01334,0
4,2006.00058,0
4,1802.01116,0
4,1812.10087,0
4,2109.02497,1
4,2006.165,1
4,2302.09227,0
4,2110.12255,0
4,1701.07901,0
4,2204.01943,0
4,1604.04653,0
4,2111.1515,1
4,1810.01665,1
4,1808.02996,1
4,2010.03739,1
4,1711.04851,1
4,2206.05853,0
4,1703.06857,0
4,1907.05287,0
4,1802.05908,0
4,1905.0254,1
4,2208.0699,0
4,1604.05605,0
4,1909.05663,0
4,1706.07901,0
5,2110.12255,0
5,2302.09227,0
5,1703.07479,1
5,2210.03163,1
5,2408.01607,0
5,1804.01653,0
5,2405.03218,0
5,2204.01943,0
5,1701.07901,0
5,2004.0778,1
5,2501.08639,1
5,2110.01606,1
5,2008.06457,0
5,1906.05251,0
5,2310.06522,0
5,1706.10082,0
5,2403.148,0
5,2212.10562,0
5,2309.06286,1
5,2305.0966,1
5,2406.17804,0
5,2403.06797,1
