query_id,doc_id,is_relevant
1,2208.09694,1
1,1908.00178,1
1,2204.12717,1
1,2001.01816,1
1,2204.01184,1
1,2105.07635,1
1,2311.09093,1
1,2212.09438,1
1,1708.08986,0
1,2106.15274,1
1,2103.00801,1
1,1503.03771,1
1,1707.01698,0
1,1807.03594,0
1,2404.07685,1
1,2403.01172,1
1,1603.01842,0
1,2409.05389,0
1,1312.6834,0
1,2405.076,1
1,1407.7556,1
1,1605.0315,1
1,cs/0509022,0
1,2403.06797,0
1,2402.16036,1
1,2308.06054,1
1,1810.09805,1
1,2006.06976,1
1,2411.15602,1
1,1910.11968,1
1,1905.01635,1
1,2208.1165,1
1,1709.00846,0
1,2006.14011,1
1,1812.0776,1
1,2203.15983,0
1,2306.14601,1
1,2304.13242,0
1,2402.0475,1
1,1910.02818,1
1,2209.06522,0
1,1202.4495,0
2,1809.00084,1
2,1711.08506,1
2,1907.03576,1
2,2408.01607,1
2,2404.18891,1
2,2102.08497,1
2,2004.13903,1
2,2501.07163,1
2,2103.06031,1
2,2305.14841,1
2,1809.00076,1
2,1904.08483,1
2,2111.01093,1
2,1811.02654,1
2,2406.194,1
2,1807.09169,1
2,2408.00783,0
2,2211.1104,1
2,1901.03915,0
2,1905.08409,1
2,2011.15093,1
2,1903.02871,1
2,1904.02872,1
2,2207.09162,1
2,1907.0887,1
2,2008.06457,0
2,2211.01125,1
2,2102.01389,1
2,2102.12095,1
2,2501.0644,1
2,2303.09679,1
2,2305.04665,0
2,1911.02761,1
2,1812.00328,0
2,1202.1943,0
2,2206.10294,0
2,2409.00647,1
2,1711.06636,1
2,1805.08693,1
2,2008.12371,1
2,2410.17816,0
2,2011.1279,0
2,2308.12727,0
2,1604.04333,0
2,2205.05841,1
2,1603.00502,0
2,1701.0262,0
2,1801.09321,0
2,2210.08472,0
2,2406.04933,1
3,2410.22626,1
3,1509.0647,0
3,2210.03043,1
3,2209.05629,1
3,2407.00609,1
3,2411.16537,1
3,2410.04529,1
3,2111.02444,1
3,1910.13676,1
3,1903.09761,0
3,1901.10968,1
3,1912.12555,1
3,2503.16535,0
3,2107.00229,1
3,2011.03216,1
3,2309.15329,1
3,2403.10104,1
3,1810.00818,1
3,2003.09487,1
3,2411.01639,1
3,1905.04084,1
3,2108.07616,0
3,2305.04718,1
3,2312.02396,1
3,2504.02161,1
3,2202.00732,1
3,2205.11666,1
3,1901.06514,1
3,2306.05242,1
3,1911.06487,0
3,2004.14774,0
3,1903.0784,0
3,2409.17519,1
3,1902.10363,0
3,1501.04158,1
3,1504.03154,0
3,1811.10847,0
3,1812.00725,1
3,2404.11683,1
3,1111.5358,1
3,1908.06422,1
3,1704.0661,0
3,2209.09874,1
3,2011.06961,1
3,1412.7007,0
3,2410.03303,0
3,2411.05821,1
3,2311.17842,1
3,2005.08829,0
3,2111.09793,0
3,2411.17458,0
3,2409.14216,1
3,2412.06465,1
3,1807.07049,1
4,1505.0289,1
4,1712.05245,1
4,1906.06538,1
4,1604.03351,1
4,1607.05695,1
4,2412.02855,1
4,1909.03309,1
4,1805.0286,1
4,2010.03318,1
4,1505.0088,1
4,1904.07647,1
4,1909.06175,1
4,2103.16516,1
4,1805.07872,1
4,1609.06666,1
4,1812.1055,1
4,1901.08373,1
4,2207.09869,1
4,2003.11303,1
4,2308.12938,1
4,1412.0719,1
4,1902.05394,1
4,2301.04613,1
4,2106.01178,1
4,1908.04512,1
4,1703.10714,1
4,1701.07046,1
4,1502.04652,1
4,1703.06857,0
4,1907.05287,0
4,1604.03265,1
4,2208.0699,0
4,1604.05605,0
4,1905.0254,1
4,1706.07901,0
4,2206.05853,0
4,1711.08006,0
5,1703.07479,1
5,1704.0604,1
5,2007.07925,1
5,2203.06328,1
5,2412.02214,1
5,1803.0866,0
5,2409.00606,1
5,1807.00273,0
5,1811.07459,1
5,2002.03321,1
5,2210.03163,1
5,2501.00057,0
5,1810.12521,1
5,1811.07056,1
5,2010.07222,1
5,1901.00224,1
5,1811.04863,1
5,2201.0125,1
5,2011.02727,1
5,2111.13445,1
5,2109.15242,1
5,2404.09461,1
5,2109.00788,1
5,2405.07489,1
5,2307.04157,1
5,2001.03182,0
5,2309.01408,0
5,2101.05913,1
